User ID,MAE
140,0.6561
569,0.6565
882,0.6566
473,0.6569
334,0.6570
935,0.6582
840,0.6591
402,0.6607
139,0.6610
12,0.6610
18,0.6615
577,0.6615
24,0.6621
112,0.6622
631,0.6629
819,0.6630
722,0.6636
414,0.6639
741,0.6644
516,0.6645
319,0.6647
160,0.6647
740,0.6649
422,0.6658
41,0.6660
532,0.6661
880,0.6663
254,0.6663
221,0.6665
763,0.6669
618,0.6672
850,0.6683
233,0.6696
56,0.6700
243,0.6701
792,0.6721
749,0.6724
782,0.6726
214,0.6730
484,0.6736
324,0.6737
178,0.6737
606,0.6738
100,0.6744
613,0.6744
558,0.6746
497,0.6750
470,0.6753
32,0.6762
472,0.6765
333,0.6768
311,0.6771
636,0.6786
293,0.6788
775,0.6803
268,0.6804
877,0.6810
891,0.6810
285,0.6812
43,0.6813
692,0.6815
431,0.6819
783,0.6826
64,0.6828
870,0.6832
903,0.6833
147,0.6837
822,0.6859
476,0.6859
103,0.6860
721,0.6861
566,0.6876
481,0.6877
854,0.6877
799,0.6878
303,0.6881
679,0.6884
6,0.6885
508,0.6890
751,0.6891
561,0.6892
215,0.6893
242,0.6903
391,0.6909
253,0.6910
271,0.6910
90,0.6912
266,0.6916
909,0.6924
483,0.6925
398,0.6932
23,0.6937
264,0.6960
826,0.6961
156,0.6974
931,0.6975
37,0.6987
521,0.6991
137,0.6995
663,0.7003
256,0.7005
439,0.7012
312,0.7013
227,0.7023
302,0.7033
116,0.7043
417,0.7044
586,0.7051
727,0.7059
834,0.7069
290,0.7074
397,0.7079
717,0.7087
841,0.7090
754,0.7091
776,0.7091
746,0.7100
725,0.7103
709,0.7105
684,0.7113
621,0.7115
313,0.7121
871,0.7132
354,0.7135
512,0.7142
11,0.7143
306,0.7161
152,0.7167
257,0.7170
584,0.7171
460,0.7189
327,0.7193
536,0.7194
925,0.7197
802,0.7198
933,0.7198
713,0.7199
744,0.7204
798,0.7205
39,0.7213
919,0.7225
910,0.7225
934,0.7227
190,0.7236
890,0.7237
388,0.7240
73,0.7252
63,0.7253
317,0.7254
114,0.7258
541,0.7258
57,0.7259
370,0.7259
790,0.7260
936,0.7261
8,0.7265
91,0.7274
592,0.7276
715,0.7277
693,0.7282
278,0.7284
48,0.7292
158,0.7292
859,0.7313
375,0.7317
596,0.7324
506,0.7324
338,0.7329
904,0.7334
846,0.7335
441,0.7344
535,0.7348
392,0.7350
45,0.7352
622,0.7367
915,0.7382
498,0.7391
27,0.7393
53,0.7399
164,0.7402
188,0.7413
885,0.7415
579,0.7415
307,0.7429
420,0.7433
120,0.7434
747,0.7436
733,0.7436
867,0.7438
500,0.7444
222,0.7444
756,0.7451
232,0.7454
430,0.7487
296,0.7490
62,0.7500
716,0.7501
678,0.7503
723,0.7507
479,0.7509
44,0.7520
712,0.7522
662,0.7525
263,0.7538
151,0.7539
301,0.7541
161,0.7543
436,0.7543
683,0.7544
59,0.7545
595,0.7563
318,0.7564
582,0.7572
911,0.7572
297,0.7580
825,0.7580
486,0.7584
4,0.7584
685,0.7584
836,0.7587
438,0.7593
488,0.7594
632,0.7606
416,0.7611
82,0.7614
165,0.7628
528,0.7635
343,0.7646
515,0.7646
830,0.7647
872,0.7649
510,0.7657
119,0.7660
635,0.7662
899,0.7673
527,0.7678
673,0.7678
682,0.7679
226,0.7686
287,0.7691
19,0.7692
28,0.7696
499,0.7706
250,0.7718
654,0.7722
593,0.7724
634,0.7726
742,0.7737
900,0.7742
929,0.7742
831,0.7744
703,0.7748
467,0.7749
105,0.7755
383,0.7763
758,0.7767
231,0.7776
815,0.7779
737,0.7783
649,0.7800
169,0.7801
122,0.7806
446,0.7809
130,0.7817
351,0.7820
704,0.7823
817,0.7823
304,0.7842
526,0.7842
587,0.7848
99,0.7848
270,0.7848
881,0.7851
189,0.7854
454,0.7913
111,0.7914
346,0.7914
623,0.7919
46,0.7927
505,0.7927
774,0.7933
878,0.7933
605,0.7962
69,0.7966
124,0.7968
547,0.7977
861,0.7982
54,0.7987
883,0.7988
240,0.7993
21,0.7995
